"COUNTY","SCHOOL","school_code"
"LOS ANGELES","NEW ACADEMY CANOGA PA",102483
"LOS ANGELES","ALEXANDER SCIENCE CENTER",102491
"SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517
"CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566
"TULARE","SANTA FE ELEMENTARY",102574
"ORANGE","ROBERT C FISLER ELEMENTARY",102582
"SAN DIEGO","FARR AVENUE SCHOOL",102608
"SANTA CLARA","CAROLYN A CLARK ELEME",102616
"MERCED","LORENA FALASCO ELEMENTARY",102624
"SAN JOAQUIN","ANSEL ADAMS",102632
"SANTA CRUZ","RADCLIFF ELEMENTARY",102665
"SANTA CRUZ","LANDMARK ELEMENTARY",102673
"TULARE","JOHN F KENNEDY ELEMENTARY",102707
"RIVERSIDE","ESTUDILLO ELEMENTARY",102715
"RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723
"RIVERSIDE","TOWNGATE ELEMENTARY",102731
"RIVERSIDE","BROOKSIDE ELEMENTARY",102749
"RIVERSIDE","CAWSTON ELEMENTARY",102772
"PLACER","THOMAS JEFFERSON ELEM",102798
"PLACER","BLUE OAKS ELEMENTARY",102806
"ORANGE","PARKSIDE PREK SDC",102814
"SAN DIEGO","STONE RANCH ELEMENTARY",102822
"SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848
"SANTA BARBARA","LIBERTY ELEMENTARY",102863
"ORANGE","HICKS CANYON ELEMENTARY",102889
"ORANGE","MELROSE ELEMENTARY",102897
"SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939
"ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988
"SAN DIEGO","SAN ELIJO SCHOOL",105684
"FRESNO","A L CONNER ELEMENTARY",105692
"STANISLAUS","MARY LOU DIETERICH EL",105700
"SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718
"RIVERSIDE","ALAMOS ELEMENTARY",105742
"RIVERSIDE","RIO VISTA ELEMENTARY",105767
"TULARE","FOUR CREEKS ELEMENTARY",105783
"RIVERSIDE","DWIGHT D EISENHOWER ELEMENTARY",105791
"RIVERSIDE","HARADA ELEMANTARY SCH",105809
"MERCED","HARMONY ELEMENTARY",105817
"SONOMA","WOODLAND STAR CHARTER",105866
"SAN MATEO","ORTEGA ELEMENTARY SCH",105874
"SAN DIEGO","FOOTHILL - OAK ELEMENTA",105882
"SACRAMENTO","ARLENE HEIN ELEMENTARY",105908
"SACRAMENTO","ROY HERBURGER ELEMENTARY",105932
"SAN DIEGO","LIBERTY ELEMENTARY SC",105957
"SAN DIEGO","SALT CREEK ELEMENTARY SCHOOL",105965
"SAN JOAQUIN","WALTER E WOODWARD",105973
"SANTA CLARA","VILLAGE SCHOOL",106005
"CONTRA COSTA","DELTA VIEW ELEMENTARY",106088
"RIVERSIDE","COLUMBIA ELEMENTARY",106096
"RIVERSIDE","RED MAPLE ELEM",106104
"SACRAMENTO","COUNTY SPECIAL EDUCAT",106294
"SACRAMENTO","SACRAMENTO COUNTY ED",106302
"MONTEREY","FRANK LEDESMA ELEMENT",106336
"LOS ANGELES","IVY ACADEMIA",106351
"SISKIYOU","GOLDEN EAGLE CHARTER",106393
"FRESNO","JAMES S FUGMAN ELEMENTARY",106419
"LOS ANGELES","SYNERGY CHARTER ACADEMY",106427
"PLACER","TWELVE BRIDGES ELEMEN",106443
"SACRAMENTO","REGENCY PARK ELEMENTARY",106450
"FRESNO","JAMES K POLK ELEMENTARY",106476
"SAN JOAQUIN","WICKLUND ELEMENTARY",106484
"SANTA CLARA","BULLIS CHARTER",106534
"KERN","HARVEST ELEMENTARY",106575
"CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583
"SAN BERNARDINO","CHALLENGER SCHOOL OF",106641
"KERN","SHIRLEY LANE ELEMENTARY",106690
"MERCED","NEWCOMER LANGUAGE ACA",106724
"FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740
"SACRAMENTO","FOLSOM CORDOVA K - 8 COMMUNITY CHARTER",106757
"ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765
"SAN DIEGO","LEARNING CHOICE ACADE",106799
"FRESNO","THOMAS LAW REED ELEMENTARY",106815
"LOS ANGELES","JARDIN DE LA INFANCIA",106880
"SACRAMENTO","LANGUAGE ACADEMY OF SACRAMENTO",106898
"LOS ANGELES","BELLINGHAM ELEMENTARY",106914
"LOS ANGELES","MAPLE PRIMARY CENTER",106922
"LOS ANGELES","STANFORD PRIMARY CENTER",106930
"LOS ANGELES","HARMONY ELEM",106955
"STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128
"EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227
"SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284
"MONTEREY","KING CITY ARTS MAGNET",107292
"SUTTER","TWIN RIVERS CHARTER",107318
"CONTRA COSTA","COUNTY OFFICE OF EDUC",107334
"CONTRA COSTA","EAST COUNTY ELEMENTAR",107342
"RIVERSIDE","HAMILTON ELEMENTARY",107359
"YUBA","RIO DEL ORO ELEMENTARY",107375
"MONTEREY","NEW REPUBLIC ELEMENTARY",107391
"FRESNO","S BEN BENAVIDEZ ELEME",107409
"SAN BERNARDINO","GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDL",107425
"SAN BERNARDINO","THEODORE VICK ELEMENTARY",107441
"LOS ANGELES","CHAVEZ ELEMENTARY",107458
"FRESNO","ACADEMY FOR NEW AMERI",107532
"SAN DIEGO","THE NEW SCHOOL",107540
"SAN MATEO","CALIFORNIA VIRTUAL AC",107565
"RIVERSIDE","FAMILY TREE LEARNING",107631
"SAN BERNARDINO","ASA CHARTER SCHOOL",107730
"SANTA CLARA","LEARNING IN AN URBAN",107748
"KERN","SEQUOIA ELEMENTARY",107771
"SAN BERNARDINO","CYPRESS SCHOOL OF THE ARTS",107805
"ALAMEDA","LIVERMORE VALLEY CHARTER",107839
"SAN DIEGO","REIDY CREEK",107862
"SAN DIEGO","BERNARDO",107870
"SAN BERNARDINO","HIGHLAND GROVE ELEMEN",107888
"LOS ANGELES","HELEN KELLER ELEMENTARY",107912
"MADERA","EZEQUIEL TAFOYA ALVAR",107938
"SACRAMENTO","LAKE CANYON ELEMENTARY",107946
"RIVERSIDE","BENJAMIN FRANKLIN ELE",107961
"STANISLAUS","SIERRA VIEW ELEMENTAR",107979
"CONTRA COSTA","MARSH CREEK ELEMENTARY",108019
"LOS ANGELES","OAK HILLS ELEMENTARY",108027
"SAN JOAQUIN","PARK VIEW ELEMENTARY",108035
"PLACER","RUHKALA ELEMENTARY",108050
"MONTEREY","BORONDA MEADOWS",108068
"FRESNO","MOLLY S BAKMAN ELEMENTARY",108100
"FRESNO","YOKOMI (AKIRA) ELEMEN",108118
"RIVERSIDE","LA JOLLA ELEMENTARY",108134
"FRESNO","WOODS (HAROLD L) ELEM",108142
"SANTA CLARA","ADELANTE DUAL LANGUAGE ACADEMY",108167
"STANISLAUS","MEDEIROS (SANDRA TOVA",108175
"SAN DIEGO","CHEROKEE",108202
"SAN JOAQUIN","ELLERTH E LARSON ELEMENTARY",108209
"SAN JOAQUIN","SILVA (MANLIO) ELEMEN",108217
"RIVERSIDE","RONALD REAGAN ELEMENTARY",108241
"EL DORADO","LAKEVIEW ELEMENTARY",108258
"SAN DIEGO","GOLDEN HILL ELEMENTAR",108266
"SAN DIEGO","PORTER ELEMENTARY  -  SOUTH CAMPUS",108274
"SAN DIEGO","CHEROKEE POINT",108282
"SAN DIEGO","IBARRA (HERBERT) ELEM",108290
"NEVADA","SIERRA MONTESORRI",108316
"LAKE","LAKE COUNTY INTERNATI",108340
"SAN JOAQUIN","GEORGE KELLY ELEMENTARY",108357
"ORANGE","MANUEL ESQUEDA ELEMENTARY",108373
"LOS ANGELES","MARSHALL (THURGOOD) E",108381
"SACRAMENTO","HERITAGE PEAK CHARTER",108415
"SAN BERNARDINO","VANGUARD PREPARATORY",108423
"SAN BERNARDINO","GALILEO ACADEMY 101",108431
"SAN BERNARDINO","ENDEAVOUR SCHOOL OF EXPLORATION",108449
"RIVERSIDE","CARRILLO RANCH ELEMENTARY",108464
"RIVERSIDE","BOULDER RIDGE",108472
"RIVERSIDE","CROWNE HILL ELEMENTAR",108480
"RIVERSIDE","SUSAN LA VORGNA ELEMENTARY",108498
"RIVERSIDE","TOBIN (TONY) ELEMENTA",108506
"PLACER","FOSKETT RANCH ELEMENTARY",108514
"SAN LUIS OBISPO","CAPPY CULVER ELEMENTARY",108522
"RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530
"SAN DIEGO","IFTIN CHARTER",108548
"SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563
"ALAMEDA","FALLON (ELEANOR MURRA",108571
"KERN","SAN LAUREN ELEMENTARY",108589
"LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597
"NAPA","STONE BRIDGE",108605
"SAN JOAQUIN","VERITAS ELEMENTARY",108613
"RIVERSIDE","OAK MEADOWS ELEMENTARY",108639
"SAN JOAQUIN","ROSA PARKS ACADEMY",108647
"SAN DIEGO","VETERANS ELEMENTARY",108662
"SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696
"ORANGE","OSO GRANDE ELEMENTARY",108704
"SOLANO","DIXON MONTESSORI CHAR",108712
"SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720
"SACRAMENTO","CASTELLO (HELEN CARR)",108738
"LOS ANGELES","HOWARD TANNER",108779
"SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795
"ALAMEDA","MILLSMONT ACADEMY",108803
"SACRAMENTO","COMMUNITY COLLABORATIVE CHARTER",108837
"SACRAMENTO","WESTLAKE CHARTER",108860
"LOS ANGELES","GABRIELLA CHARTER",108886
"LOS ANGELES","CELERITY NASCENT CHAR",108910
"LOS ANGELES","LARCHMONT CHARTER",108928
"TULARE","SUMMIT CHARTER ACADEMY",109009
"ORANGE","ORANGE COUNTY EDUCATIONAL ARTS ACADEMY",109066
"STANISLAUS","JOEL HIDAHL ELEMENTARY",109074
"STANISLAUS","M ROBERT ADKISON ELE",109082
"STANISLAUS","SINCLEAR ELEMENTARY",109090
"RIVERSIDE","LASSELLE ELEMENTARY",109116
"RIVERSIDE","AVALON ELEMENTARY",109124
"NAPA","CANYON OAKS ELEMENTARY",109140
"CONTRA COSTA","QUAIL RUN ELEMENTARY",109173
"LOS ANGELES","OLYMPIC PRIMARY CENTE",109181
"LOS ANGELES","LAKE STREET PRIMARY",109199
"LOS ANGELES","MARTHA ESCUTIA PRIMARY CENTER",109207
"LOS ANGELES","GARZA  - CARMEN LOMAS -  PRIMARY CENTER",109223
"LOS ANGELES","DANNY J BAKEWELL, SR, PRIMARY CENTER",109231
"LOS ANGELES","HOOPER AVENUE PRIMARY CENTER",109249
"LOS ANGELES","MARIPOSA - NABI PRIMARY",109256
"LOS ANGELES","LEXINGTON AVENUE PRIMARY CENTER",109264
"LOS ANGELES","MIDDLETON PC",109272
"LOS ANGELES","AMANECER PRIMARY CENTER",109280
"LOS ANGELES","HOLLYWOOD PRIMARY CEN",109296
"LOS ANGELES","HOLLYWOOD PRIMARY CTR",109298
"LOS ANGELES","WASHINGTON PRIMARY CENTER",109306
"LOS ANGELES","HARVARD ELEMENTARY SC",109314
"LOS ANGELES","PACIFIC BOULEVARD",109322
"LOS ANGELES","JEFFERSON NEW ELEM#1",109330
"LOS ANGELES","AURORA ELEMENTARY",109348
"LOS ANGELES","JOHN W MACK ELEMENTARY",109355
"LOS ANGELES","MAYWOOD NEW ELEM",109363
"LOS ANGELES","ROSA PARKS LEARNING CENTER",109371
"LOS ANGELES","NOBLE NEW ELEM #1",109389
"LOS ANGELES","MAURICE SENDAK ELEMENTARY",109397
"LOS ANGELES","KINSLEY ELEM",109405
"LOS ANGELES","MADISON ELEMENTARY",109413
"LOS ANGELES","HOPE STREET ELEM",109421
"LOS ANGELES","CESAR CHAVEZ ELEMENTARY",109439
"SAN BERNARDINO","VICTORIA MAGATHAN ELEMENTARY",109470
"SAN BERNARDINO","ROGER ANTON ELEMENTARY",109496
"EL DORADO","CALIFORNIA MONTESSORI",109501
"VENTURA","MOUNTAIN VISTA",109520
"SAN MATEO","EAST PALO ALTO ACADEM",109561
"LOS ANGELES","ASPIRE ANTONIO MARIA LUGO ACADEMY",109660
"ORANGE","LAKEVIEW ELEMENTARY",109678
"MADERA","NISHIMOTO ELEMENTARY",109702
"SAN DIEGO","BAYSHORE PREPARATORY CHARTER",109785
"SUTTER","SOUTH SUTTER CHARTER SCHOOL",109793
"ALAMEDA","ASPIRE BERKLEY MAYNARD ACADEMY",109819
"PLACER","NEWCASTLE CHARTER",109827
"ALAMEDA","FAME PUBLIC CHARTER",109835
"RIVERSIDE","SANTA ROSA ACADEMY",109843
"BUTTE","OAK HILLS ACADEMY/BIG",109868
"LOS ANGELES","OUR COMMUNITY CHARTER",109934
"LOS ANGELES","CRESCENDO CHARTER",109959
"HUMBOLDT","FUENTE NUEVA CHARTER",109975
"ALAMEDA","WORLD ACADEMY",109983
"SANTA CRUZ","OCEAN GROVE CHARTER S",110007
"STANISLAUS","APRICOT VALLEY ELEMENTARY",110080
"LOS ANGELES","ANAVERDE HILLS",110098
"SAN DIEGO","SYCAMORE RIDGE",110114
"SAN DIEGO","BONSALL WEST ELEMENTARY",110122
"EL DORADO","LAKE TAHOE ENVIRONMENTAL SCIENCE MAGNET",110155
"SHASTA","SHASTA LAKE",110221
"ALAMEDA","REACH ACADEMY",110239
"ALAMEDA","MANZANITA SEED ELEMENTARY",110247
"ALAMEDA","SANKOFA ACADEMY",110254
"ALAMEDA","RISE COMMUNITY",110262
"BUTTE","ACHIEVE CHARTER SCHOOL OF PARADISE INC",110338
"SAN LUIS OBISPO","LANGE (DOROTHEA) ELEM",110486
"VENTURA","RANCHO ROSAL ELEMENTARY",110502
"BUTTE","NORD COUNTRY",110551
"SAN BERNARDINO","JUDSON & BROWN ELEMENTARY",110569
"RIVERSIDE","RAILWAY ELEMENTARY",110577
"RIVERSIDE","SKY VIEW ELEMENTARY",110585
"RIVERSIDE","EVANS RANCH ELEMENTARY",110601
"SAN DIEGO","CITY ARTS ACADEMY",110619
