"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,88,82,83,84,2,1,2007
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,112,109,111,104,1,0,2003
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,97,96,95,95,1,0,2008
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,94,93,93,93,0,0,2004
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,97,92,92,92,5,0,2012
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,91,88,88,88,3,0,2010
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,99,99,99,99,0,0,2006
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,78,78,78,78,0,0,2015
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,111,100,95,99,3,1,2005
"PUBLIC","LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600,108,108,108,108,0,0,2013
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,159,145,137,142,0,0,2007
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,155,155,155,155,0,0,2013
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,148,126,123,128,0,0,2009
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,161,159,157,158,0,0,2004
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,152,148,148,147,0,0,2005
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,144,140,136,138,0,0,2008
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,136,109,117,111,0,0,2010
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,127,125,123,124,1,0,2012
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,124,120,124,124,0,0,2014
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,140,98,96,97,0,1,2011
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,163,135,142,146,0,0,2006
"PUBLIC","LOS ANGELES","RICHARD RIORDAN PRIMA",101618,127,127,127,127,0,0,2015
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,70,70,70,70,0,0,2014
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,63,63,63,63,0,0,2015
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,73,68,67,62,0,0,2012
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,52,51,51,51,0,0,2006
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,76,74,74,75,0,0,2009
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,72,67,65,66,0,0,2010
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,66,58,57,57,2,0,2011
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,53,50,52,53,0,0,2007
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,72,70,69,69,0,0,2013
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,61,56,56,56,1,0,2008
"PUBLIC","ORANGE","EDWARD B COLE ACADEMY",101626,52,46,46,46,0,0,2005
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,60,59,59,59,0,1,2015
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,60,60,60,60,0,0,2009
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,60,60,60,60,0,0,2012
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,57,53,55,54,0,0,2005
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,60,60,60,60,0,0,2014
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,59,59,59,59,0,0,2008
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,60,59,59,59,1,0,2007
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,60,58,58,58,0,0,2013
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,59,55,54,56,1,0,2010
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,60,59,59,59,0,0,2011
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,76,72,76,76,0,0,2003
"PUBLIC","LOS ANGELES","WILDER'S PREPARATORY",101667,58,58,58,58,0,0,2006
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,160,73,73,73,87,0,2014
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,161,99,97,97,57,0,2010
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,125,93,79,79,32,0,2009
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,292,245,256,245,30,0,2006
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,167,53,53,53,109,4,2013
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,161,48,48,48,111,2,2015
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,120,86,86,86,32,0,2008
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,205,66,68,68,118,15,2012
"PUBLIC","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,138,61,61,61,77,0,2011
"PRIVATE","SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766,117,96,96,96,21,0,2005
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,158,141,135,137,5,0,2005
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,158,148,144,146,1,0,2007
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,117,113,113,113,2,0,2013
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,132,98,99,103,0,0,2011
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,120,104,103,107,4,0,2012
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,148,125,125,129,3,0,2009
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,147,121,121,121,0,0,2004
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,110,107,106,107,0,0,2014
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,130,117,114,114,2,0,2010
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,145,136,136,136,1,0,2006
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,151,141,141,140,0,0,2003
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,124,105,101,103,1,0,2008
"PUBLIC","SACRAMENTO","EDNA BATEY ELEMENTARY",101790,133,130,130,131,2,0,2015
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,158,153,154,154,3,1,2007
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,114,111,110,111,3,0,2011
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,90,87,87,87,1,1,2004
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,129,120,120,120,8,0,2010
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,62,55,55,55,7,0,2012
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,90,86,87,87,3,0,2014
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,119,113,115,115,3,0,2008
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,109,103,102,103,5,0,2009
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,126,124,123,123,2,0,2005
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,84,82,80,80,1,0,2013
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,151,150,150,150,1,0,2006
"PUBLIC","TULARE","OAK GROVE ELEMENTARY",101857,78,77,77,77,1,0,2015
"PUBLIC","YUBA","BLUE OAKS",101865,13,12,11,12,0,0,2003
"PUBLIC","SONOMA","ROSELAND CHARTER",101923,48,47,47,47,0,0,2013
"PUBLIC","SONOMA","ROSELAND CHARTER",101923,47,47,47,47,0,0,2015
"PUBLIC","SONOMA","ROSELAND CHARTER",101923,46,46,46,46,0,0,2014
"PUBLIC","LOS ANGELES","TODAY'S FRESH START",102020,141,141,141,141,0,0,2014
"PUBLIC","LOS ANGELES","TODAY'S FRESH START",102020,130,128,127,125,0,0,2010
"PUBLIC","LOS ANGELES","TODAY'S FRESH START",102020,156,152,141,144,1,0,2005
"PUBLIC","LOS ANGELES","TODAY'S FRESH START",102020,140,132,129,131,0,0,2009
"PUBLIC","LOS ANGELES","TODAY'S FRESH START",102020,137,137,137,137,0,0,2012
"PUBLIC","LOS ANGELES","TODAY'S FRESH START",102020,141,141,141,141,0,0,2011
"PUBLIC","LOS ANGELES","TODAY'S FRESH START",102020,137,136,136,136,1,0,2013
"PUBLIC","KERN","PINE MOUNTAIN LEARNIN",102111,12,12,12,12,0,0,2011
"PUBLIC","KERN","PINE MOUNTAIN LEARNIN",102111,11,10,10,10,0,1,2005
"PUBLIC","KERN","PINE MOUNTAIN LEARNIN",102111,19,17,15,16,0,0,2009
"PUBLIC","KERN","PINE MOUNTAIN LEARNIN",102111,12,11,11,11,1,0,2007
"PUBLIC","KERN","PINE MOUNTAIN LEARNIN",102111,10,7,7,7,3,0,2004
"PUBLIC","KERN","PINE MOUNTAIN LEARNIN",102111,12,10,10,10,2,0,2010
"PUBLIC","KERN","PINE MOUNTAIN LEARNIN",102111,12,11,9,10,1,0,2012
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,12,4,6,4,6,0,2012
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,11,8,8,8,3,0,2010
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,13,8,7,7,5,0,2011
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,11,8,8,8,2,0,2009
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,13,13,13,13,0,0,2008
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,12,8,8,8,4,0,2014
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,97,95,95,95,2,0,2006
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,12,8,8,8,4,0,2015
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,10,8,8,8,2,0,2007
"PUBLIC","SANTA BARBARA","CARPINTERIA FAMILY",102129,12,10,10,10,2,0,2013
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,178,174,174,174,4,0,2005
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,125,120,120,120,4,1,2007
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,154,129,126,133,3,1,2015
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,121,108,110,111,9,0,2006
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,127,125,123,125,0,0,2009
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,120,94,96,97,3,1,2012
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,144,132,132,131,5,0,2010
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,152,122,121,128,3,1,2013
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,132,120,120,117,6,0,2011
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,194,190,184,185,1,0,2004
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,143,140,139,139,3,0,2008
"PUBLIC","SACRAMENTO","WITTER RANCH ELEMENTARY",102277,160,130,133,134,4,0,2014
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,79,79,79,79,0,0,2009
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,60,59,58,59,1,0,2005
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,80,78,78,78,1,1,2010
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,61,61,59,60,0,0,2004
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,81,77,77,77,3,0,2008
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,75,74,74,74,0,1,2011
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,62,59,59,59,2,1,2012
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,78,77,77,77,0,0,2007
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,75,72,72,72,2,1,2013
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,70,70,70,69,0,0,2014
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,60,59,59,59,1,0,2006
"PUBLIC","TEHAMA","WOODSON ELEMENTARY SC",102301,64,63,63,63,1,0,2015
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,43,41,42,42,0,0,2011
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,52,52,51,52,0,0,2005
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,62,57,59,61,1,0,2013
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,61,60,60,60,1,0,2012
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,59,57,56,57,1,0,2004
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,40,39,39,39,0,1,2008
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,53,53,53,53,0,0,2007
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,79,77,76,77,2,0,2014
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,40,40,40,40,0,0,2010
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,60,60,60,60,0,0,2006
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,52,51,51,51,1,0,2015
"PUBLIC","BUTTE","PLUMAS AVENUE ELEMENTARY",102327,42,42,40,40,0,0,2009
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,60,30,30,30,26,0,2010
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,59,20,22,20,29,0,2009
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,59,24,25,23,34,0,2007
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,79,34,34,34,45,0,2014
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,81,32,37,35,24,0,2011
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,80,72,76,73,3,1,2004
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,60,27,24,27,24,0,2008
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,79,34,34,34,43,0,2012
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,58,24,27,27,14,0,2006
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,77,37,37,37,40,0,2013
"PUBLIC","LOS ANGELES","OCEAN CHARTER SCHOOL",102335,71,33,33,32,37,1,2015
"PUBLIC","SACRAMENTO","ASPIRE CAPITOL HEIGHTS ACADEMY",102343,47,43,44,45,0,0,2014
"PUBLIC","SACRAMENTO","ASPIRE CAPITOL HEIGHTS ACADEMY",102343,47,47,47,47,0,0,2015
"PUBLIC","SACRAMENTO","ASPIRE CAPITOL HEIGHTS ACADEMY",102343,46,35,36,41,0,0,2011
"PUBLIC","SACRAMENTO","ASPIRE CAPITOL HEIGHTS ACADEMY",102343,47,43,42,42,0,0,2012
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,148,142,140,141,2,0,2009
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,100,97,97,97,0,2,2004
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,129,116,113,114,4,0,2010
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,143,135,134,135,5,0,2008
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,120,117,115,117,0,1,2007
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,121,117,117,117,4,0,2005
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,152,145,145,145,1,4,2015
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,136,132,130,130,2,0,2012
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,119,114,113,114,5,0,2013
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,149,145,144,145,3,0,2014
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,146,142,141,141,2,0,2011
"PUBLIC","CONTRA COSTA","PIONEER ELEMENTARY",102376,122,116,115,115,2,3,2006
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,40,40,39,39,0,0,2005
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,40,40,40,40,0,0,2006
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,20,20,20,20,0,0,2004
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,51,51,51,51,0,0,2009
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,60,59,59,59,1,0,2013
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,55,54,54,54,1,0,2010
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,66,64,64,64,2,0,2014
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,56,56,56,56,0,0,2011
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,40,39,39,39,1,0,2007
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,66,61,61,61,5,0,2015
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,50,50,50,50,0,0,2008
"PUBLIC","SAN JOAQUIN","PRIMARY CHARTER",102384,57,57,56,57,0,0,2012
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,48,48,48,48,0,0,2013
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,48,47,47,47,0,0,2012
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,44,44,44,44,0,0,2009
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,37,37,37,37,0,0,2004
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,48,38,38,38,0,0,2014
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,38,38,38,38,0,0,2006
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,48,48,48,48,0,0,2011
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,37,36,36,36,1,0,2005
"PUBLIC","LOS ANGELES","PUC MILAGRO CHARTER",102426,47,46,46,46,1,0,2015
"PUBLIC","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,93,93,93,93,0,0,2015
"PUBLIC","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,82,75,77,77,0,0,2013
"PUBLIC","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,60,56,57,57,0,0,2012
"PUBLIC","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,60,42,40,40,0,0,2010
"PUBLIC","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,60,60,57,59,0,0,2006
"PUBLIC","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,83,83,83,83,0,0,2014
"PRIVATE","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,60,60,60,60,0,0,2005
"PUBLIC","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,60,51,50,50,0,0,2009
"PUBLIC","LOS ANGELES","NEW ACADEMY CANOGA PA",102483,60,56,56,54,0,0,2011
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,78,69,67,70,0,0,2007
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,117,110,107,108,0,0,2013
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,130,130,130,130,0,0,2010
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,80,59,57,59,0,0,2005
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,90,81,77,80,0,0,2004
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,118,109,105,107,1,0,2012
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,107,75,71,76,0,0,2009
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,120,100,99,101,1,0,2011
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,75,63,62,62,0,0,2006
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,124,112,104,109,0,0,2014
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,78,65,63,65,0,0,2008
"PUBLIC","LOS ANGELES","ALEXANDER SCIENCE CENTER",102491,120,118,116,117,0,0,2015
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,104,102,102,103,1,0,2015
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,138,132,131,131,3,0,2013
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,81,80,80,80,1,0,2008
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,80,78,79,79,0,0,2005
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,116,116,116,116,0,0,2011
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,101,101,101,101,0,0,2007
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,141,137,136,137,2,0,2012
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,141,141,141,141,0,0,2014
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,122,119,115,118,0,0,2009
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,96,96,96,96,0,0,2006
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,97,95,95,95,1,0,2010
"PUBLIC","SAN BERNARDINO","DOROTHY GRANT ELEMENTARY",102517,85,85,84,84,0,0,2004
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,147,145,145,144,2,0,2013
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,179,177,178,178,0,0,2012
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,146,144,144,144,2,0,2014
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,158,149,146,147,4,0,2009
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,138,137,137,137,0,0,2005
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,147,136,143,138,3,0,2006
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,160,156,156,156,4,0,2008
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,149,144,144,144,3,0,2007
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,100,99,100,100,0,0,2004
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,182,162,161,161,2,0,2010
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,169,166,167,167,2,0,2011
"PUBLIC","CONTRA COSTA","HIDDEN HILLS ELEMENTARY",102566,120,119,119,119,1,0,2015
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,130,123,121,123,1,0,2014
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,120,120,120,120,0,0,2008
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,120,120,120,120,0,0,2005
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,125,125,125,124,0,0,2015
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,154,152,151,152,1,1,2012
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,120,120,120,120,0,0,2009
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,119,116,116,116,0,0,2007
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,165,164,164,163,0,0,2010
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,146,142,142,142,1,1,2013
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,126,125,125,125,0,0,2011
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,119,119,119,119,0,0,2006
"PUBLIC","TULARE","SANTA FE ELEMENTARY",102574,102,101,100,100,0,0,2004
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,89,89,87,89,0,0,2004
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,81,81,81,81,0,0,2015
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,84,83,83,83,1,0,2013
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,76,76,76,76,0,0,2006
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,86,84,83,84,2,0,2012
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,91,91,91,91,0,0,2011
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,93,92,92,92,0,1,2009
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,85,85,85,85,0,0,2007
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,82,81,81,81,1,0,2014
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,109,107,107,107,2,0,2010
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,74,73,73,73,0,0,2008
"PUBLIC","ORANGE","ROBERT C FISLER ELEMENTARY",102582,105,105,105,105,0,0,2005
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,148,148,148,146,0,0,2006
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,111,110,108,109,0,0,2007
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,119,116,115,116,0,0,2008
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,123,120,122,120,1,0,2010
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,129,129,129,129,0,0,2004
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,130,127,127,127,1,0,2011
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,137,135,134,135,1,0,2014
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,132,132,132,132,0,0,2012
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,142,141,140,140,0,0,2005
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,144,140,140,140,0,0,2013
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,145,142,139,142,0,0,2009
"PUBLIC","SAN DIEGO","FARR AVENUE SCHOOL",102608,147,143,143,144,1,0,2015
