"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","SANTA BARBARA","TAYLOR (IDA REDMOND)",42002,35,31,33,35,0,0,2000
"PUBLIC","SANTA CLARA","JAMES F SMITH",43001,57,56,55,55,1,0,2000
"PUBLIC","SANTA CLARA","BARRETT ELEMENTARY",43002,60,58,58,58,0,0,2000
"PUBLIC","SANTA CLARA","CANOAS ELEM",43003,64,55,56,57,3,1,2000
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,15,13,13,13,1,0,2007
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,12,7,7,7,4,1,2012
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,17,15,15,15,1,0,2001
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,14,12,12,12,2,0,2008
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,14,14,14,14,0,0,2009
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,16,14,14,14,0,0,2003
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,11,10,8,8,1,0,2002
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,15,15,15,15,0,0,2004
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,16,13,13,13,2,1,2010
"PRIVATE","STANISLAUS","MONTESSORI OF MODESTO",50501,13,12,12,12,1,0,2005
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,20,19,19,19,1,0,2009
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,18,11,12,12,0,0,2005
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,20,17,16,16,0,0,2006
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,21,21,21,21,0,0,2015
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,21,20,20,20,1,0,2014
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,21,21,21,21,0,0,2012
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,22,22,22,22,0,0,2013
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,19,17,17,17,2,0,2011
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,20,20,20,20,0,0,2010
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,19,19,19,19,0,0,2008
"PUBLIC","MADERA","SHERMAN THOMAS CHARTER",100016,20,20,19,20,0,0,2007
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,64,61,61,61,3,0,2003
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,108,99,99,99,8,0,2011
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,118,117,117,115,1,0,2005
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,139,133,132,134,3,1,2008
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,121,116,116,116,3,0,2007
