longitude,latitude,school_code,countyMatch,isSchool
-117.8617607,33.7518911,6973739,1,1
-117.8979769,33.8836039,6965321,1,1
-117.9532761,33.8175125,6973747,1,1
0,0,6903306,0,0
-117.6507716,33.5041925,6909469,1,1
-117.9815742,33.9967367,6200703,0,1
-117.7248652,33.5542952,6965347,1,1
-117.8486094,33.6281459,6200174,1,1
-117.9274647,33.7312681,7081722,1,1
-117.7612107,33.7122445,6929848,1,1
-117.8499072,33.8153287,6965354,1,0
-117.8447975,33.8308168,6965362,1,1
-117.8447975,33.8308168,6965370,1,1
-117.999156,33.860246,6965396,1,1
-117.9898791,33.7875767,6965404,1,1
-117.9708475,33.6665103,6965248,1,1
-117.875278,33.758333,6997696,1,0
-118.0363665,33.8460932,6145668,1,1
-118.0363665,33.8460932,6132393,1,1
-117.671472,33.540579,6130785,1,1
-117.671472,33.540579,6133987,1,1
-117.671472,33.540579,6929855,1,1
-117.872858,33.754754,6973655,1,1
-117.6713977,33.5525811,7102221,1,1
-117.8978812,33.7274522,6997415,1,1
80.2280148,12.9816498,7018666,0,1
-117.8913691,33.6504972,7084213,1,1
-117.9562657,33.8389219,9030503,1,1
-117.8296211,33.6325668,6907539,1,1
-117.7285013,33.5649689,6205132,1,0
-117.835233,33.7727181,6991665,1,0
-117.916195,33.77423,6136832,1,1
-117.946833,33.677145,7005853,1,1
-117.8633447,33.7766589,6942619,1,0
-117.8617137,33.7744237,6136782,1,1
-117.8273125,33.8381824,6973804,1,1
-117.8273125,33.8381824,6965420,1,1
-117.8155963,33.6500274,6911697,1,1
-117.78793,33.6655469,130502,1,1
-117.78793,33.6655469,6134779,1,1
-117.78793,33.6655469,6205694,1,1
-117.883016,33.7741117,6204309,1,1
-117.7486201,33.8644667,7099005,1,1
-117.883016,33.7741117,7104169,1,1
-117.8567588,33.6628907,7088735,1,1
-117.8366735,33.6407045,7040751,1,1
-117.728451,33.564695,6201230,1,1
-117.9771365,33.83532,6900336,1,1
-117.8202044,33.6613622,6900443,1,1
-117.7094337,33.5622976,7085517,1,1
-117.8004114,33.8578225,6937197,1,1
-117.8004114,33.8578225,7059538,1,1
-117.939665,33.658745,7038680,1,1
-118.021702,33.760692,7094287,1,0
-117.8204933,33.6746834,7071509,1,1
-117.8277167,33.755364,7077415,1,1
-117.8139525,33.6245975,6920177,1,1
-117.8132571,33.8885035,6993125,1,1
-117.9027013,33.8400338,6965438,1,1
-121.2666942,38.7913844,7103674,1,1
-121.276699,38.743651,6942643,1,1
-121.358747,38.705002,6937544,1,1
-121.073341,38.890297,6910145,1,1
-120.2162113,39.3247892,7083603,0,0
-121.3042753,38.8863618,7089469,1,1
-121.3453051,38.6877694,7080831,0,1
-121.258896,38.775729,6143317,1,0
-121.302481,38.890951,7047996,1,1
-121.2267475,38.7290986,7083678,1,1
-121.22502,38.747091,7089352,1,1
-120.99459,39.0121989,6901870,1,1
-121.1875702,38.8255332,7084676,1,1
-121.2655166,38.7373954,7002611,1,1
-112.048243,33.4699153,6133250,0,1
-121.0636202,38.9417416,6976088,1,1
-121.2960375,38.7585777,7083942,1,0
-121.3715397,38.7779587,6922348,1,1
-121.19827,38.789569,7096084,1,1
-121.1782041,38.8296006,6140644,1,1
-121.3020197,38.7233317,6976096,0,1
-121.100011,38.9334892,6976104,1,1
-121.2851097,38.7381063,6966030,1,1
-120.02012,39.243446,6142764,1,1
-121.091924,38.871886,6133359,1,1
-120.9385514,39.9364937,7013816,1,1
-117.372864,33.687371,7077175,1,1
-117.1455607,33.5175654,7081532,1,1
-117.1541998,33.5396377,6205199,1,1
0,0,6999072,0,0
-117.3842707,33.9731495,6132716,1,0
-117.268038,33.601466,6909824,1,1
-116.639094,33.553667,6130835,1,1
-117.3161304,33.9751808,7011521,1,0
-117.395532,33.803775,6139422,1,1
-116.9571381,33.7438686,6965446,1,1
-97.6322639,35.5186678,7090012,0,0
-117.4291166,33.9013608,6954218,1,1
-86.748871,36.027049,7091531,0,1
-117.37304,33.9758991,7065923,1,1
-117.2500703,33.6251828,6910830,1,1
-117.5104155,34.0138084,6995930,1,1
-117.173068,33.947124,6146179,1,1
-117.173068,33.947124,6202766,1,1
-117.173068,33.947124,7083082,1,1
-117.173068,33.947124,7085731,1,1
-116.9211576,33.9374864,6952709,1,1
-117.5395262,33.9910137,7072119,1,1
-117.3842707,33.9731495,7029440,1,0
-116.9780677,33.9718889,6976724,1,1
-117.6238543,33.8716391,6917652,1,1
-117.398028,33.939248,7095201,1,1
0,0,7078835,0,0
-117.725,34.0188,7104987,0,1
-117.4353988,33.9467286,6901896,1,1
-117.4521975,33.9468381,7078116,1,0
-117.2992337,33.894571,6204317,1,1
-117.344768,33.994501,7001332,1,0
-116.9313804,33.7299563,7023435,1,1
-117.2636381,33.6185069,7021751,1,1
-117.2636381,33.6185069,7094295,1,1
-117.606642,33.8611364,6910699,1,0
-117.4748744,34.0099682,7092620,1,1
-117.4712953,33.9147969,7092976,1,1
